名称,均价(元/㎡),地址,经度,纬度,片区,类型,建成年份,在售套数
紫薇田园都市F区,30139,高新-锦业路 高新区唐延路南段紫薇田园都市,108.866249,34.168295,高新二期,二手房,2002,4
长征365,16875,高新-锦业路 长安科技园1号,108.870919,34.166698,高新二期,二手房,2007,3
高新·天谷雅舍,25735,高新-软件新城 天谷四路以北、云水三路以东、云水二路以西,108.824615,34.219185,软件新城,二手房,,3
高科·紫薇嘉境(北区),17406,高新-CID中央创新区 纬三十四路以南,108.816127,34.136179,高新二期,二手房,,3
华洲城天峰,16470,高新-鱼化寨 大寨路3560号,108.841847,34.238189,高新一期,二手房,2017,3
龙湖青云阙,18104,高新-大学城 经二十二路与纬三十六路交汇处(未来之瞳旁),108.814189,34.128742,高新三期,二手房,2025,3
龙记观澜国际,17552,高新-软件园 科技二路76号,108.868506,34.218613,软件新城,二手房,2015,3
满堂悦MOMA,15133,高新-锦业路 锦业路88号,108.837980,34.186394,高新二期,二手房,2013,3
欧锦园,20256,高新-高新一中 科技路34号,108.894912,34.225592,高新二期,二手房,2007,3
泉上花间,13205,高新-锦业路 西沣路128号阿姆瑞特家居中心南侧,108.858718,34.158611,高新二期,二手房,2014,3
双威温馨花园,11975,高新-徐家庄 博文路11号,108.898236,34.217187,高新二期,二手房,2004,3
逸翠园别墅,33575,高新-锦业路 唐延南路与绕成高速公路交汇处,108.872869,34.176246,高新二期,二手房,2007,3
铂悦,15149,高新-科技路西口 科技路76号,108.867876,34.230220,高新一期,二手房,2016,2
保利爱尚里,19321,高新-科技六路 科技六路与丈八北路十字东南角,108.868580,34.204835,高新二期,二手房,2018,2
东尚蜂鸟,13533,高新-锦业路 绕城高速以南(锦业二路与丈八六路十字西南角),108.848167,34.175388,高新二期,二手房,2014,2
都市印象SOLO街区,,"高新-科技路西口 科技路,近丈八北路",108.867138,34.228754,高新一期,二手房,,2
枫叶广场,,高新-高新一中 高新路63号,108.895375,34.219664,高新一期,二手房,1995,2
高新金茂悦园,27110,高新-软件园 鱼化寨街与化龙一路十字东南角(皂河景观带旁),108.850668,34.226002,软件新城,二手房,,2
高新云锦,18178,高新-锦业路 锦业路与丈八六路十字西北角,108.848414,34.188641,高新二期,二手房,2024,2
高科尚郡,19834,高新-科技六路 高新六路与科技六路交汇处,108.871774,34.207542,高新二期,二手房,2016,2
高科尚都摩卡,9287,高新-锦业路 西安市雁塔区丈八西路与丈八五路交汇处向东50..,108.859584,34.190287,高新二期,二手房,2014,2
捷瑞新时代,11487,高新-软件园 丈八北路256号,108.865468,34.224689,软件新城,二手房,2012,2
嘉禾广运,13988,高新-锦业路 丈八五路与瞪羚路十字东南角(高新第五小学东临..,108.859416,34.195177,高新二期,二手房,2015,2
昆明时光2区,,"高新-鱼化寨 昆明路,近富源二路",108.829551,34.245266,高新二期,二手房,2014,2
龙天名俊,15331,高新-锦业路 丈八六路8号,108.849536,34.193311,高新二期,二手房,2012,2
绿地海珀香庭,29428,高新-锦业路 丈八二路与锦业路交口向北190米路东,108.874664,34.190266,高新二期,二手房,2010,2
南飞鸿乐境雅荟,15156,高新-软件新城 经十四路以西、西三环以东、天谷四路以南、规划..,108.841045,34.217112,高新三期,二手房,,2
庆安颐秀园,17447,高新-高新一中 高新二路26号,108.888323,34.221383,高新二期,二手房,2004,2
群贤花园,16519,高新-徐家庄 博文路33号,108.898566,34.218083,高新二期,二手房,2008,2
万达西安one,13323,高新-科技六路 唐延路49号万达广场B1,108.885113,34.202307,高新二期,二手房,2018,2
西化南区,8033,高新-大寨路 昆明路5号,108.867446,34.243939,高新一期,二手房,1990,2
易和蓝钻,10048,高新-徐家庄 二环南路西段154号,108.904728,34.231588,高新二期,二手房,2012,2
丈八沟碧水源,13119,高新-科技六路 科技7路7号,108.871878,34.202428,高新二期,二手房,2014,2
中圣绿苑,11502,高新-锦业路 创汇路20号,108.852842,34.157632,高新二期,二手房,2001,2
万达长安龙胤,80694,高新-科技六路 木塔寺路与木塔寺西路交叉口路口处,108.891628,34.200668,高新二期,二手房,2020,2
保利·天瓒,,高新-软件新城 科技六路与化龙二路交汇处,108.845546,34.204503,软件新城,二手房,,1
高新逸品,12391,高新-锦业路 丈八六路6号,108.849536,34.196188,高新二期,二手房,2013,1
